for signal samples L1Prefiring_BulkGWW_HPHP_MVV.txt
mass   :    nominal       :     L1 SF applied     :  difference % 
1000.0  :  2536.0  :  2531.36563341  :  0.00182743162152 
1200.0  :  5370.0  :  5364.13880161  :  0.0010914708357 
1400.0  :  6633.0  :  6631.1110381  :  0.000284782436751 
1600.0  :  7882.0  :  7880.99993399  :  0.000126879726904 
1800.0  :  9013.0  :  9012.73425751  :  2.94843543287e-05 
2000.0  :  9720.0  :  9719.999975  :  2.57201693277e-09 
2500.0  :  10690.0  :  10689.999999  :  9.35453936535e-11 
3000.0  :  11891.0  :  11890.8870928  :  9.49518311688e-06 
3500.0  :  13240.0  :  13239.999998  :  1.51057499842e-10 
4000.0  :  14791.0  :  14791.0  :  0.0 
4500.0  :  16078.0  :  16078.0  :  0.0 
5000.0  :  1586.0  :  1586.0  :  0.0 
5500.0  :  823.0  :  823.0  :  0.0 
6000.0  :  166.0  :  166.0  :  0.0 
