for signal samples L1Prefiring_BulkGWW_HPLP_MVV.txt
mass   :    nominal       :     L1 SF applied     :  difference % 
1000.0  :  17254.0  :  17222.3995153  :  0.00183148746276 
1200.0  :  29878.0  :  29844.4029156  :  0.00112447567986 
1400.0  :  31249.0  :  31234.310107  :  0.000470091619502 
1600.0  :  33104.0  :  33096.6172917  :  0.000223015597622 
1800.0  :  35308.0  :  35305.8536322  :  6.0789844977e-05 
2000.0  :  35593.0  :  35591.1827697  :  5.10558333685e-05 
2500.0  :  36110.0  :  36109.6455229  :  9.81659151011e-06 
3000.0  :  36124.0  :  36123.1193707  :  2.43779577073e-05 
3500.0  :  36131.0  :  36130.6213813  :  1.04790542195e-05 
4000.0  :  36128.0  :  36127.8103179  :  5.25027937281e-06 
4500.0  :  36445.0  :  36444.8436085  :  4.2911643332e-06 
5000.0  :  3557.0  :  3556.999998  :  5.62271562643e-10 
5500.0  :  1911.0  :  1910.96491228  :  1.83609207534e-05 
6000.0  :  466.0  :  466.0  :  0.0 
