for signal samples L1Prefiring_BulkGZZ_HPHP_MVV.txt
mass   :    nominal       :     L1 SF applied     :  difference % 
1000.0  :  303.0  :  302.083326462  :  0.00302532520848 
1200.0  :  839.0  :  837.749984709  :  0.00148988711639 
1400.0  :  1098.0  :  1097.999988  :  1.09289617356e-08 
1600.0  :  1395.0  :  1394.44443644  :  0.00039825344781 
1800.0  :  1658.0  :  1657.88888189  :  6.70193678756e-05 
2000.0  :  1645.0  :  1644.999994  :  3.64741625791e-09 
2500.0  :  1955.0  :  1955.0  :  0.0 
3000.0  :  2180.0  :  2180.0  :  0.0 
3500.0  :  2432.0  :  2432.0  :  0.0 
4000.0  :  2722.0  :  2722.0  :  0.0 
4500.0  :  3035.0  :  3035.0  :  0.0 
