for signal samples L1Prefiring_BulkGZZ_HPLP_MVV.txt
mass   :    nominal       :     L1 SF applied     :  difference % 
1000.0  :  2696.0  :  2690.80547881  :  0.00192675118259 
1200.0  :  5144.0  :  5139.51180973  :  0.00087250977228 
1400.0  :  5854.0  :  5851.57531782  :  0.000414192377708 
1600.0  :  6219.0  :  6217.93645992  :  0.000171014645774 
1800.0  :  6589.0  :  6588.3374451  :  0.000100554696613 
2000.0  :  6692.0  :  6691.74266506  :  3.84541158758e-05 
2500.0  :  6782.0  :  6781.95651774  :  6.41142165714e-06 
3000.0  :  6923.0  :  6922.999998  :  2.88892021416e-10 
3500.0  :  7009.0  :  7008.999999  :  1.42673761694e-10 
4000.0  :  6997.0  :  6997.0  :  0.0 
4500.0  :  7105.0  :  7104.95651874  :  6.1198116369e-06 
