for signal samples L1Prefiring_Wprime_HPHP_MVV.txt
mass   :    nominal       :     L1 SF applied     :  difference % 
1000.0  :  416.0  :  411.056409446  :  0.0118836311398 
1200.0  :  1015.0  :  1009.74333792  :  0.00517897741868 
1400.0  :  1356.0  :  1351.09122796  :  0.0036200383791 
1600.0  :  1611.0  :  1608.05551758  :  0.00182773582741 
1800.0  :  1831.0  :  1829.6388629  :  0.000743384542346 
2000.0  :  1970.0  :  1969.33330333  :  0.000338424706412 
2500.0  :  2252.0  :  2251.88887989  :  4.93428561005e-05 
3000.0  :  2485.0  :  2484.999995  :  2.01207239758e-09 
3500.0  :  2778.0  :  2777.999997  :  1.07991349196e-09 
4000.0  :  3051.0  :  3051.0  :  0.0 
4500.0  :  3390.0  :  3390.0  :  0.0 
5000.0  :  3593.0  :  3593.0  :  0.0 
5500.0  :  1940.0  :  1940.0  :  0.0 
6000.0  :  440.0  :  440.0  :  0.0 
