for signal samples L1Prefiring_Wprime_HPLP_MVV.txt
mass   :    nominal       :     L1 SF applied     :  difference % 
1000.0  :  3016.0  :  2989.98479108  :  0.00862573240034 
1200.0  :  5811.0  :  5777.35501754  :  0.0057898782421 
1400.0  :  6607.0  :  6585.78585931  :  0.00321085828467 
1600.0  :  7016.0  :  7003.0632961  :  0.0018438859611 
1800.0  :  7295.0  :  7289.17842939  :  0.000798022016708 
2000.0  :  7274.0  :  7271.26971424  :  0.000375348606153 
2500.0  :  7621.0  :  7620.66660666  :  4.37466652438e-05 
3000.0  :  7560.0  :  7559.88887589  :  1.4698956606e-05 
3500.0  :  7397.0  :  7396.999997  :  4.05569910988e-10 
4000.0  :  7499.0  :  7498.999999  :  1.33351107934e-10 
4500.0  :  7422.0  :  7422.0  :  0.0 
5000.0  :  7472.0  :  7472.0  :  0.0 
5500.0  :  4093.0  :  4093.0  :  0.0 
6000.0  :  817.0  :  817.0  :  0.0 
