for signal samples L1Prefiring_ZprimeWW_HPHP_MVV.txt
mass   :    nominal       :     L1 SF applied     :  difference % 
1000.0  :  286.0  :  283.583310305  :  0.00844996396979 
1200.0  :  543.0  :  541.171045036  :  0.00336824118639 
1400.0  :  626.0  :  623.449017967  :  0.00407505117027 
1600.0  :  817.0  :  816.44442544  :  0.000680017820924 
1800.0  :  827.0  :  826.333315328  :  0.000806148333293 
2000.0  :  941.0  :  940.555539552  :  0.000472327787201 
2500.0  :  1034.0  :  1033.99999  :  9.67117985695e-09 
3000.0  :  1154.0  :  1154.0  :  0.0 
3500.0  :  1284.0  :  1283.999999  :  7.78816122704e-10 
4000.0  :  1382.0  :  1382.0  :  0.0 
4500.0  :  1590.0  :  1590.0  :  0.0 
5000.0  :  1668.0  :  1668.0  :  0.0 
5500.0  :  895.0  :  895.0  :  0.0 
6000.0  :  169.0  :  169.0  :  0.0 
