for signal samples L1Prefiring_ZprimeWW_HPLP_MVV.txt
mass   :    nominal       :     L1 SF applied     :  difference % 
1000.0  :  1644.0  :  1629.18528555  :  0.00901138348697 
1200.0  :  2765.0  :  2752.40461601  :  0.00455529258079 
1400.0  :  3148.0  :  3139.02765033  :  0.00285017460987 
1600.0  :  3287.0  :  3280.94831692  :  0.00184109616177 
1800.0  :  3342.0  :  3338.83327336  :  0.000947554351235 
2000.0  :  3371.0  :  3369.15867913  :  0.000546223929288 
2500.0  :  3313.0  :  3312.66663666  :  0.000100622799823 
3000.0  :  3407.0  :  3406.60316659  :  0.000116475905613 
3500.0  :  3291.0  :  3290.999997  :  9.11576925056e-10 
4000.0  :  3287.0  :  3286.999999  :  3.04228753301e-10 
4500.0  :  3388.0  :  3387.999999  :  2.95159341412e-10 
5000.0  :  3304.0  :  3303.999999  :  3.02663449858e-10 
5500.0  :  1820.0  :  1819.88888789  :  6.10506109554e-05 
6000.0  :  331.0  :  331.0  :  0.0 
